Default initial user information

User 1 
name : BEAR
cardNum : 000000000000000
hashedPin : hashed(robotics2017)
accNum : 0000-00-0000000
accBalance : 1000000
accStatus : true
loginFailCount : 0

User 2 : 
name : Elin
cardNum : 0000000000000001
hashedPin : hashed(helloworld)
accNum : 0000-00-0000001
accBalance : 210703
accStatus : true
loginFailCount : 0

User 3 
name : Panda
cardNum : 0000000000000002
hashedPin : hashed(bamb00)
accNum : 0000-00-0000002
accBalance : 67000
accStatus : true
loginFailCount : 0

User 4
name : Polar
cardNum : 0000000000000003
hashedPin : hashed(12345!!)
accNum : 0000-00-0000003
accBalance : 829810
accStatus : true
loginFailCount : 0

User 5
name : Pooh
cardNum : 0000000000000004
hashedPin : hashed(honey33)
accNum : 0000-00-0000004
accBalance : 5000
accStatus : true
loginFailCount : 0
